word,count,journal,in_that_journal
Electromyography,317,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,27
Myocardial Contraction,316,The American journal of physiology,34
Stroke,316,Stroke; a journal of cerebral circulation,74
Mitogen-Activated Protein Kinases,314,The Journal of biological chemistry,63
Adsorption,314,Environmental science & technology,45
Multigene Family,313,The Journal of biological chemistry,34
Glutathione,313,Biochemical pharmacology,19
Disease Outbreaks,313,Epidemiology and infection,26
Cluster Analysis,312,BMC genomics,19
RNA Interference,311,The Journal of biological chemistry,33
Reaction Time,311,The Journal of neuroscience : the official journal of the Society for Neuroscience,44
Acquired Immunodeficiency Syndrome,311,Journal of virology,14
Precipitin Tests,310,The Journal of biological chemistry,80
Arginine,310,The Journal of biological chemistry,31
Urinary Bladder Neoplasms,310,The Journal of urology,55
"Models, Statistical",310,Medical physics,19
Patient Satisfaction,309,Plastic and reconstructive surgery,10
Karyotyping,309,Cancer genetics and cytogenetics,55
Dexamethasone,308,Endocrinology,22
Antibody Formation,306,"Journal of immunology (Baltimore, Md. : 1950)",35
"Diabetes Mellitus, Type 1",306,Diabetes,50
"In Situ Hybridization, Fluorescence",306,Genomics,22
Pressure,305,The Journal of urology,16
Particle Size,305,Langmuir : the ACS journal of surfaces and colloids,46
Stem Cells,305,"Development (Cambridge, England)",23
Genetic Markers,304,American journal of human genetics,27
Vascular Endothelial Growth Factor A,304,Cancer research,15
Protein Isoforms,304,The Journal of biological chemistry,56
Movement,303,The Journal of neuroscience : the official journal of the Society for Neuroscience,17
"Chromatography, Affinity",303,The Journal of biological chemistry,51
Contrast Media,303,AJR. American journal of roentgenology,46
"Stress, Psychological",302,Psychological reports,8
Coronary Angiography,302,The American journal of cardiology,47
Leukocytes,302,Blood,14
Drug Resistance,302,Cancer research,18
Phosphates,301,The Journal of biological chemistry,26
Graft Rejection,301,Transplantation,89
Crystallization,301,"Acta crystallographica. Section F, Structural biology and crystallization communications",49
Intracellular Signaling Peptides and Proteins,300,The Journal of biological chemistry,46
"Drug Resistance, Microbial",300,Journal of bacteriology,34
Alzheimer Disease,299,Neurology,29
Radiotherapy Dosage,299,"International journal of radiation oncology, biology, physics",87
"Behavior, Animal",299,The Journal of neuroscience : the official journal of the Society for Neuroscience,44
"Adaptor Proteins, Signal Transducing",299,The Journal of biological chemistry,57
Chromosome Aberrations,298,Cancer genetics and cytogenetics,45
Bacterial Infections,298,The Japanese journal of antibiotics,37
Spectrophotometry,298,Biochemistry,46
Computational Biology,298,BMC bioinformatics,63
Circadian Rhythm,297,The American journal of physiology,18
Drosophila melanogaster,297,Proceedings of the National Academy of Sciences of the United States of America,28
Horses,296,Equine veterinary journal,56
Phagocytosis,295,Infection and immunity,30
Cornea,294,Investigative ophthalmology & visual science,40
Gas Chromatography-Mass Spectrometry,294,Journal of chromatography. A,49
Sodium Chloride,294,The American journal of physiology,16
"Polymorphism, Restriction Fragment Length",293,Journal of clinical microbiology,24
Hydrogen Bonding,292,Biochemistry,38
Cardiovascular Diseases,292,American journal of epidemiology,12
Ecosystem,291,Ecology,34
Chemistry,291,Journal of medicinal chemistry,47
Activities of Daily Living,291,Journal of the American Geriatrics Society,32
Mental Disorders,291,The American journal of psychiatry,25
Feasibility Studies,290,"International journal of radiation oncology, biology, physics",11
Zinc,290,The Journal of biological chemistry,21
Pain Measurement,290,Anesthesia and analgesia,20
"Biopsy, Needle",289,Acta cytologica,36
"Databases, Factual",288,Nucleic acids research,25
Enzyme Induction,288,Journal of bacteriology,26
Cross Reactions,288,"Journal of immunology (Baltimore, Md. : 1950)",24
"Anti-Inflammatory Agents, Non-Steroidal",287,Arzneimittel-Forschung,15
Bone Marrow Transplantation,287,Blood,37
"Rats, Inbred F344",287,Cancer research,26
Copper,287,The Journal of biological chemistry,16
Diabetes Mellitus,287,Diabetes,21
Biological Evolution,286,Proceedings of the National Academy of Sciences of the United States of America,56
Population Surveillance,286,MMWR. Morbidity and mortality weekly report,22
Introns,286,Gene,38
"T-Lymphocytes, Cytotoxic",286,"Journal of immunology (Baltimore, Md. : 1950)",51
"Immunity, Cellular",285,"Journal of immunology (Baltimore, Md. : 1950)",35
Drosophila Proteins,285,"Development (Cambridge, England)",41
"Embryo, Mammalian",284,The Journal of biological chemistry,23
Open Reading Frames,283,Journal of bacteriology,22
Immunization,283,Infection and immunity,21
Cerebrovascular Circulation,283,Stroke; a journal of cerebral circulation,46
Chemical Phenomena,283,Journal of medicinal chemistry,47
Autoradiography,283,The Journal of cell biology,12
Preoperative Care,283,The British journal of surgery,11
Testis,283,Fertility and sterility,18
Phosphatidylinositol 3-Kinases,283,The Journal of biological chemistry,50
Sex Distribution,282,Neurology,7
Exercise Test,281,The American journal of cardiology,48
Solutions,281,Biochemistry,33
Lipid Metabolism,281,The Journal of biological chemistry,29
Cell Death,280,Journal of neurochemistry,20
Attitude to Health,280,American journal of public health,10
"Repetitive Sequences, Nucleic Acid",278,Nucleic acids research,32
Postoperative Period,278,Transplantation,8
Graft Survival,277,Transplantation,76
Coronary Vessels,277,The American journal of cardiology,25
"Intestine, Small",277,The American journal of physiology,14
Mitosis,276,The Journal of biological chemistry,24
Superoxide Dismutase,276,Biochemical and biophysical research communications,14
Bone Neoplasms,276,Cancer,24
Chromatin,276,The Journal of biological chemistry,35
Bone and Bones,276,The Journal of clinical endocrinology and metabolism,15
African Americans,275,Journal of the National Medical Association,25
Anoxia,274,The American journal of physiology,25
Neuropsychological Tests,274,Neurology,31
Creatinine,274,American journal of kidney diseases : the official journal of the National Kidney Foundation,16
Nitric Oxide Synthase,274,The Journal of biological chemistry,16
"Leukocytes, Mononuclear",273,Clinical and experimental immunology,13
Psychiatric Status Rating Scales,273,The American journal of psychiatry,46
Carcinogens,273,Carcinogenesis,48
Larva,273,Journal of economic entomology,21
Dopamine,273,Journal of neurochemistry,41
Testosterone,272,The Journal of clinical endocrinology and metabolism,36
Protein Precursors,272,The Journal of biological chemistry,36
Chlorides,272,The American journal of physiology,33
Italy,272,Tumori,13
Lymphoma,271,International journal of cancer. Journal international du cancer,15
"Stress, Mechanical",270,Biophysical journal,22
"Receptor, Epidermal Growth Factor",270,The Journal of biological chemistry,34
Australia,270,The Medical journal of Australia,62
Renal Dialysis,269,American journal of kidney diseases : the official journal of the National Kidney Foundation,38
Immune Sera,269,"Journal of immunology (Baltimore, Md. : 1950)",33
Histocytochemistry,269,The Journal of cell biology,19
Blood Proteins,269,Biochimica et biophysica acta,15
Plants,269,Biochimica et biophysica acta,24
"Receptors, Antigen, T-Cell",268,"Journal of immunology (Baltimore, Md. : 1950)",53
Blood Flow Velocity,268,Stroke; a journal of cerebral circulation,12
Statistics as Topic,268,Psychiatry research,7
Clinical Competence,267,Academic medicine : journal of the Association of American Medical Colleges,22
Esophageal Neoplasms,266,Cancer,16
Amino Acid Motifs,266,The Journal of biological chemistry,71
Postoperative Care,266,Vestnik khirurgii imeni I. I. Grekova,12
Iodine Radioisotopes,266,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",29
Hydrocortisone,265,The Journal of clinical endocrinology and metabolism,26
"Dose-Response Relationship, Radiation",265,Radiation research,45
"History, 20th Century",264,Neurology,6
"Microsomes, Liver",264,Biochemical pharmacology,34
Liposomes,264,Biochimica et biophysica acta,46
Genetic Complementation Test,263,Journal of bacteriology,47
"Adaptation, Physiological",263,Nature,9
Heparin,263,The Journal of biological chemistry,20
Imidazoles,263,The Journal of biological chemistry,13
Pregnancy Complications,263,American journal of obstetrics and gynecology,28
Wounds and Injuries,263,The Journal of trauma,36
Drosophila,262,"Development (Cambridge, England)",32
Cause of Death,262,The Annals of thoracic surgery,16
"Muscle, Smooth",262,The American journal of physiology,39
Xenopus laevis,262,The Journal of biological chemistry,29
Research Design,261,Trials,17
Exercise,261,The American journal of clinical nutrition,9
Proto-Oncogene Proteins c-akt,260,The Journal of biological chemistry,31
Electron Spin Resonance Spectroscopy,260,Biochemistry,50
Vaccination,259,Infection and immunity,19
Outcome Assessment (Health Care),259,Critical care medicine,8
Indoles,259,Journal of medicinal chemistry,19
X-Ray Diffraction,259,Journal of molecular biology,30
Pseudomonas aeruginosa,259,Journal of bacteriology,30
Liver Cirrhosis,258,"Hepatology (Baltimore, Md.)",24
ROC Curve,258,Radiology,13
Cost-Benefit Analysis,258,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,9
Depression,258,Psychiatry research,12
T-Lymphocyte Subsets,258,"Journal of immunology (Baltimore, Md. : 1950)",84
Health Surveys,258,American journal of public health,11
"Centrifugation, Density Gradient",257,Journal of virology,37
Netherlands,257,Nederlands tijdschrift voor geneeskunde,39
"Receptors, Estrogen",257,Cancer research,18
Immune Tolerance,256,"Journal of immunology (Baltimore, Md. : 1950)",40
Polymers,256,Langmuir : the ACS journal of surfaces and colloids,22
Histocompatibility Antigens Class II,256,"Journal of immunology (Baltimore, Md. : 1950)",54
Ovary,256,Fertility and sterility,29
Indicators and Reagents,256,Organic letters,20
Heterozygote,256,Proceedings of the National Academy of Sciences of the United States of America,15
Spermatozoa,256,Fertility and sterility,56
Staining and Labeling,256,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,12
Perfusion,255,The American journal of physiology,53
Nitrogen,255,Water science and technology : a journal of the International Association on Water Pollution Research,19
DNA Transposable Elements,255,Journal of bacteriology,49
Cytochrome P-450 Enzyme System,255,Biochemical pharmacology,26
Solvents,254,Journal of chromatography. A,28
Glycosylation,254,The Journal of biological chemistry,48
Staphylococcal Infections,254,Journal of clinical microbiology,24
Insulin Resistance,253,Diabetes,42
Cross-Over Studies,253,Clinical pharmacology and therapeutics,13
"Chromatography, Liquid",253,Journal of chromatography. A,60
"Receptors, Immunologic",252,"Journal of immunology (Baltimore, Md. : 1950)",48
Haplotypes,252,American journal of human genetics,21
Dog Diseases,252,Journal of the American Veterinary Medical Association,64
Tumor Suppressor Proteins,252,The Journal of biological chemistry,29
Cell Adhesion Molecules,252,The Journal of biological chemistry,21
Europe,251,Molecular ecology,8
"Colony Count, Microbial",251,Journal of food protection,62
Occupational Diseases,251,Occupational and environmental medicine,32
Brain Mapping,251,The Journal of neuroscience : the official journal of the Society for Neuroscience,49
Occupational Exposure,251,Occupational and environmental medicine,35
Adenoma,249,The Journal of clinical endocrinology and metabolism,25
Progesterone,248,Endocrinology,32
Glucocorticoids,248,Chest,8
Plant Extracts,248,Indian journal of experimental biology,17
Stents,248,Journal of vascular surgery,25
Macaca mulatta,248,Journal of virology,25
"Immunity, Innate",247,"Journal of immunology (Baltimore, Md. : 1950)",52
Insulin-Like Growth Factor I,247,Endocrinology,32
"Monitoring, Physiologic",246,Journal of neurosurgery,11
"Neovascularization, Pathologic",246,Cancer research,22
"Carcinoma, Non-Small-Cell Lung",245,The Annals of thoracic surgery,15
Dietary Fats,245,The British journal of nutrition,25
Patch-Clamp Techniques,244,The Journal of neuroscience : the official journal of the Society for Neuroscience,64
California,244,American journal of public health,10
Surgical Flaps,243,Plastic and reconstructive surgery,79
Oxidoreductases,243,Journal of bacteriology,23
"DNA, Mitochondrial",243,Molecular phylogenetics and evolution,50
Necrosis,243,Plastic and reconstructive surgery,7
